imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.08, 0.07",1,1,0,0,2,11,1290
"0.08, 0.08",1,1,0,0,2,12,1190
"0.08, 0.09",1,1,0,0,2,12,1350
"0.08, 0.10",1,1,0,0,2,12,1230
"0.08, 0.11",1,1,0,0,2,12,1230
"0.08, 0.12",1,1,0,0,2,12,1230
"0.08, 0.13",1,1,0,0,2,12,1230
"0.08, 0.14",1,1,0,0,2,12,1230
"0.08, 0.15",1,1,0,0,2,12,1230
"0.08, 0.16",1,1,0,0,2,12,1230
"0.08, 0.17",1,1,0,0,2,12,1230
"0.08, 0.18",1,1,0,0,2,12,1230
"0.08, 0.19",1,1,0,0,2,12,1230
"0.08, 0.20",1,1,0,0,2,12,1230
"0.08, 0.21",1,1,0,0,2,12,1230
"0.08, 0.22",1,1,0,0,2,12,1230
"0.08, 0.23",1,1,0,0,2,12,1230
"0.08, 0.24",1,1,0,0,2,12,1230
"0.08, 0.25",1,1,0,0,2,12,1230
"0.08, 0.26",1,1,0,0,2,12,1230
"0.08, 0.27",1,1,0,0,2,12,1230
"0.08, 0.28",1,1,0,0,2,12,1230
"0.08, 0.29",1,1,0,0,2,12,1230
"0.08, 0.30",1,1,0,0,2,12,1230
"0.08, 0.31",1,1,0,0,2,12,1230
"0.08, 0.32",1,1,0,0,2,12,1230
"0.08, 0.33",1,1,0,0,2,12,1230
"0.08, 0.34",1,1,1,0,2,14,1280
"0.08, 0.35",1,1,0,0,2,12,1190
"0.08, 0.36",1,1,0,0,2,12,1190
"0.08, 0.37",1,1,1,0,2,14,1250
"0.08, 0.38",1,1,0,0,2,13,1250
"0.08, 0.39",1,1,1,0,2,14,1230
"0.08, 0.40",1,1,0,0,2,13,1250
"0.09, 0.00",1,2,0,0,2,6,1480
"0.09, 0.01",1,2,0,0,2,6,1380
"0.09, 0.02",1,1,0,0,2,8,1330
"0.09, 0.03",1,2,0,0,2,6,1290
"0.09, 0.04",1,1,0,0,2,7,1340
"0.09, 0.05",1,1,0,0,2,8,1290
"0.09, 0.06",1,1,0,0,2,9,1250
"0.09, 0.07",1,1,0,0,2,13,1340
"0.09, 0.08",1,1,0,0,2,12,1210
"0.09, 0.09",1,1,0,0,2,12,1250
"0.09, 0.10",1,1,0,0,2,12,1250
"0.09, 0.11",1,1,1,0,2,16,1320
"0.09, 0.12",1,1,1,0,2,16,1320
"0.09, 0.13",1,1,1,0,2,16,1320
"0.09, 0.14",1,1,1,0,2,16,1320
"0.09, 0.15",1,1,1,0,2,16,1320
"0.09, 0.16",1,1,1,0,2,16,1320
"0.09, 0.17",1,1,1,0,2,16,1320
"0.09, 0.18",1,1,1,0,2,16,1320
"0.09, 0.19",1,1,1,0,2,16,1320
"0.09, 0.20",1,1,1,0,2,16,1320
"0.09, 0.21",1,1,1,0,2,16,1320
"0.09, 0.22",1,1,1,0,2,16,1320
"0.09, 0.23",1,1,1,0,2,16,1320
"0.09, 0.24",1,1,1,0,2,16,1320
"0.09, 0.25",1,1,1,0,2,16,1320
"0.09, 0.26",1,1,1,0,2,16,1320
"0.09, 0.27",1,1,1,0,2,16,1320
"0.09, 0.28",1,1,1,0,2,16,1320
"0.09, 0.29",1,1,1,0,2,16,1320
"0.09, 0.30",1,1,1,0,2,16,1320
"0.09, 0.31",1,1,1,0,2,15,1300
"0.09, 0.32",1,1,1,0,2,15,1300
"0.09, 0.33",1,1,1,0,2,15,1300
"0.09, 0.34",1,1,1,0,2,15,1300
"0.09, 0.35",1,1,1,0,2,14,1320
"0.09, 0.36",1,1,0,0,2,13,1230
"0.09, 0.37",1,1,1,0,2,15,1300
"0.09, 0.38",1,1,1,0,2,14,1230
"0.09, 0.39",1,1,1,0,2,14,1230
"0.09, 0.40",1,1,0,0,2,13,1230
"0.10, 0.00",1,2,0,0,2,6,1480
"0.10, 0.01",1,2,0,0,2,6,1380
"0.10, 0.02",1,1,0,0,2,8,1330
"0.10, 0.03",1,1,0,0,2,6,1290
"0.10, 0.04",1,1,0,0,2,9,1150
"0.10, 0.05",1,1,0,0,2,9,1340
"0.10, 0.06",1,1,0,0,2,8,1320
"0.10, 0.07",1,1,0,0,2,11,1250
"0.10, 0.08",1,1,1,0,2,14,1260
"0.10, 0.09",1,1,1,0,2,15,1250
"0.10, 0.10",1,1,1,0,2,14,1300
"0.10, 0.11",1,1,1,0,2,14,1250
"0.10, 0.12",1,1,1,0,2,18,1290
"0.10, 0.13",1,1,1,0,2,18,1290
"0.10, 0.14",1,1,1,0,2,18,1290
"0.10, 0.15",1,1,1,0,2,18,1290
"0.10, 0.16",1,1,1,0,2,18,1290
"0.10, 0.17",1,1,1,0,2,18,1290
"0.10, 0.18",1,1,1,0,2,18,1290
"0.10, 0.19",1,1,1,0,2,18,1290
"0.10, 0.20",1,1,1,0,2,18,1290
"0.10, 0.21",1,1,1,0,2,18,1290
"0.10, 0.22",1,1,1,0,2,18,1290
"0.10, 0.23",1,1,1,0,2,18,1290
"0.10, 0.24",1,1,1,0,2,18,1290
"0.10, 0.25",1,1,1,0,2,18,1290
"0.10, 0.26",1,1,1,0,2,18,1290
"0.10, 0.27",1,1,1,0,2,18,1290
"0.10, 0.28",1,1,1,0,2,18,1290
"0.10, 0.29",1,1,1,0,2,18,1290
"0.10, 0.30",1,1,1,0,2,18,1290
"0.10, 0.31",1,1,1,0,2,18,1290
"0.10, 0.32",1,1,1,0,2,18,1290
"0.10, 0.33",1,1,1,0,2,18,1290
"0.10, 0.34",1,1,0,0,2,13,1250
"0.10, 0.35",1,1,1,0,2,14,1250
"0.10, 0.36",1,1,1,0,2,14,1250
"0.10, 0.37",1,1,0,0,2,13,1250
"0.10, 0.38",1,1,0,0,2,12,1290
"0.10, 0.39",1,1,0,0,2,13,1250
"0.10, 0.40",1,1,0,0,2,13,1250
"0.11, 0.00",1,2,0,0,2,6,1480
"0.11, 0.01",1,2,0,0,2,6,1380
"0.11, 0.02",1,1,0,0,2,8,1330
"0.11, 0.03",1,1,0,0,2,6,1290
"0.11, 0.04",1,1,0,0,2,10,1150
"0.11, 0.05",1,1,0,0,2,10,1250
"0.11, 0.06",1,1,0,0,2,10,1370
"0.11, 0.07",1,1,0,0,2,11,1230
"0.11, 0.08",1,1,0,0,2,10,1320
