imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.08, 0.10",0,0,1,3,3,0,600
"0.08, 0.11",0,0,1,3,3,0,640
"0.08, 0.12",0,0,1,3,3,0,600
"0.08, 0.13",0,0,1,3,3,0,640
"0.08, 0.14",0,0,1,3,3,0,600
"0.08, 0.15",0,0,1,3,3,0,600
"0.08, 0.16",0,0,1,3,3,0,600
"0.08, 0.17",0,0,1,3,3,0,600
"0.08, 0.18",0,0,1,3,3,0,600
"0.08, 0.19",0,0,1,3,3,0,600
"0.08, 0.20",0,0,1,3,3,0,600
"0.08, 0.21",0,0,1,3,3,0,600
"0.08, 0.22",0,0,1,3,3,0,600
"0.08, 0.23",0,0,1,3,3,0,600
"0.08, 0.24",0,0,1,3,3,0,600
"0.08, 0.25",0,0,1,3,3,0,600
"0.08, 0.26",0,0,1,3,3,0,600
"0.08, 0.27",0,0,1,3,3,0,600
"0.08, 0.28",0,0,1,3,3,0,600
"0.08, 0.29",0,0,1,3,3,0,600
"0.08, 0.30",0,0,1,3,3,0,600
"0.08, 0.31",0,0,1,3,3,0,600
"0.08, 0.32",0,0,1,3,3,0,600
"0.08, 0.33",0,0,1,3,3,0,600
"0.08, 0.34",0,0,1,3,3,0,600
"0.08, 0.35",0,0,1,3,3,0,600
"0.08, 0.36",0,0,1,3,3,0,600
"0.08, 0.37",0,0,1,3,3,0,600
"0.08, 0.38",0,0,1,3,3,0,600
"0.08, 0.39",0,0,1,3,3,0,600
"0.08, 0.40",0,0,1,3,3,0,600
"0.09, 0.00",0,0,0,3,3,0,940
"0.09, 0.01",0,0,0,3,3,0,840
"0.09, 0.02",0,0,0,3,3,0,860
"0.09, 0.03",0,0,0,3,3,0,910
"0.09, 0.04",0,0,0,3,3,0,1670
"0.09, 0.05",0,0,1,3,3,0,630
"0.09, 0.06",0,0,1,3,3,0,630
"0.09, 0.07",0,0,1,3,3,0,670
"0.09, 0.08",0,0,1,3,3,0,600
"0.09, 0.09",0,0,1,3,3,0,630
"0.09, 0.10",0,0,1,3,3,0,670
"0.09, 0.11",0,0,1,3,3,0,580
"0.09, 0.12",0,0,1,3,3,0,580
"0.09, 0.13",0,0,1,3,3,0,580
"0.09, 0.14",0,0,1,3,3,0,580
"0.09, 0.15",0,0,1,3,3,0,580
"0.09, 0.16",0,0,1,3,3,0,580
"0.09, 0.17",0,0,1,3,3,0,580
"0.09, 0.18",0,0,1,3,3,0,580
"0.09, 0.19",0,0,1,3,3,0,580
"0.09, 0.20",0,0,1,3,3,0,580
"0.09, 0.21",0,0,1,3,3,0,580
"0.09, 0.22",0,0,1,3,3,0,580
"0.09, 0.23",0,0,1,3,3,0,580
"0.09, 0.24",0,0,1,3,3,0,580
"0.09, 0.25",0,0,1,3,3,0,580
"0.09, 0.26",0,0,1,3,3,0,580
"0.09, 0.27",0,0,1,3,3,0,580
"0.09, 0.28",0,0,1,3,3,0,580
"0.09, 0.29",0,0,1,3,3,0,580
"0.09, 0.30",0,0,1,3,3,0,580
"0.09, 0.31",0,0,1,3,3,0,580
"0.09, 0.32",0,0,1,3,3,0,580
"0.09, 0.33",0,0,1,3,3,0,580
"0.09, 0.34",0,0,1,3,3,0,580
"0.09, 0.35",0,0,1,3,3,0,580
"0.09, 0.36",0,0,1,3,3,0,580
"0.09, 0.37",0,0,1,3,3,0,580
"0.09, 0.38",0,0,1,3,3,0,580
"0.09, 0.39",0,0,1,3,3,0,580
"0.09, 0.40",0,0,1,3,3,0,580
"0.10, 0.00",0,0,0,3,3,0,950
"0.10, 0.01",0,0,0,3,3,0,930
"0.10, 0.02",0,0,0,3,3,0,960
"0.10, 0.03",0,0,0,3,3,0,870
"0.10, 0.04",0,0,1,3,3,0,740
"0.10, 0.05",0,0,1,3,3,0,630
"0.10, 0.06",0,0,0,3,3,0,790
"0.10, 0.07",0,0,0,3,3,0,960
"0.10, 0.08",0,0,1,3,3,0,600
"0.10, 0.09",0,0,0,3,3,0,1080
"0.10, 0.10",0,0,1,3,3,0,600
"0.10, 0.11",0,0,1,3,3,0,1020
"0.10, 0.12",1,1,1,3,3,5,1020
"0.10, 0.13",1,1,1,3,3,7,770
"0.10, 0.14",0,0,1,3,3,0,600
"0.10, 0.15",1,1,1,3,3,5,580
"0.10, 0.16",0,0,1,3,3,0,780
"0.10, 0.17",0,0,1,3,3,0,580
"0.10, 0.18",1,1,1,3,3,5,780
"0.10, 0.19",1,1,1,3,3,5,580
"0.10, 0.20",0,0,1,3,3,0,580
"0.10, 0.21",1,1,1,3,3,5,580
"0.10, 0.22",0,0,1,3,3,0,580
"0.10, 0.23",1,1,1,3,3,5,580
"0.10, 0.24",0,0,1,3,3,0,580
"0.10, 0.25",1,1,1,3,3,5,580
"0.10, 0.26",0,0,1,3,3,0,830
"0.10, 0.27",0,0,1,3,3,0,580
"0.10, 0.28",0,0,1,3,3,0,580
"0.10, 0.29",0,0,1,3,3,0,830
"0.10, 0.30",1,1,1,3,3,5,1040
"0.10, 0.31",1,1,1,3,3,5,580
"0.10, 0.32",1,1,1,3,3,5,580
"0.10, 0.33",0,0,1,3,3,0,830
"0.10, 0.34",0,0,1,3,3,0,580
"0.10, 0.35",0,0,1,3,3,0,580
"0.10, 0.36",0,0,1,3,3,0,580
"0.10, 0.37",1,1,1,3,3,5,580
"0.10, 0.38",0,0,1,3,3,0,780
"0.10, 0.39",0,0,1,3,3,0,580
"0.10, 0.40",1,1,1,3,3,5,580
"0.11, 0.00",0,0,0,3,3,0,950
"0.11, 0.01",0,0,0,3,3,0,890
"0.11, 0.02",0,0,0,3,3,0,850
"0.11, 0.03",0,0,0,3,3,0,890
"0.11, 0.04",0,0,0,3,3,0,870
"0.11, 0.05",0,0,1,3,3,0,630
"0.11, 0.06",0,0,0,3,3,0,680
"0.11, 0.07",0,0,0,3,3,0,970
"0.11, 0.08",0,0,1,3,3,0,850
"0.11, 0.09",1,1,1,3,3,5,930
"0.11, 0.10",1,1,1,3,3,6,590
"0.11, 0.11",1,1,1,3,3,5,820
"0.11, 0.12",1,1,1,3,3,5,820
"0.11, 0.13",1,1,1,3,3,5,820
"0.11, 0.14",1,1,1,3,3,6,770
"0.11, 0.15",1,1,1,3,3,5,820
"0.11, 0.16",1,1,1,3,3,5,820
"0.11, 0.17",1,1,1,3,3,6,770
"0.11, 0.18",1,1,1,3,3,7,770
"0.11, 0.19",1,1,1,3,3,7,770
"0.11, 0.20",1,1,1,3,3,5,580
"0.11, 0.21",1,1,1,3,3,5,580
"0.11, 0.22",0,0,1,3,3,0,580
"0.11, 0.23",1,1,1,3,3,6,770
"0.11, 0.24",1,1,1,3,3,6,770
"0.11, 0.25",1,1,1,3,3,6,770
"0.11, 0.26",1,1,1,3,3,6,770
"0.11, 0.27",1,1,1,3,3,7,770
"0.11, 0.28",1,1,1,3,3,7,770
"0.11, 0.29",1,1,1,3,3,5,580
"0.11, 0.30",1,1,1,3,3,5,580
"0.11, 0.31",0,0,1,3,3,0,580
"0.11, 0.32",1,1,1,3,3,7,770
"0.11, 0.33",0,0,1,3,3,0,580
"0.11, 0.34",0,0,1,3,3,0,980
"0.11, 0.35",1,1,1,3,3,7,770
"0.11, 0.36",1,1,1,3,3,6,770
"0.11, 0.37",1,1,1,3,3,7,770
"0.11, 0.38",1,1,1,3,3,5,820
"0.11, 0.39",1,1,1,3,3,6,770
"0.11, 0.40",1,1,1,3,3,6,770
"0.12, 0.00",0,0,0,3,3,0,1020
"0.12, 0.01",0,0,0,3,3,0,890
"0.12, 0.02",0,0,0,3,3,0,910
"0.12, 0.03",0,0,0,3,3,0,870
"0.12, 0.04",0,0,0,3,3,0,870
"0.12, 0.05",0,0,0,3,3,0,830
"0.12, 0.06",0,0,0,3,3,0,680
"0.12, 0.07",0,0,1,3,3,0,870
"0.12, 0.08",0,0,1,3,3,0,850
"0.12, 0.09",0,0,1,3,3,0,890
"0.12, 0.10",1,1,1,3,3,5,930
"0.12, 0.11",1,1,1,3,3,7,690
"0.12, 0.12",1,1,1,3,3,5,870
"0.12, 0.13",1,1,1,3,3,5,750
"0.12, 0.14",0,0,1,3,3,0,870
"0.12, 0.15",0,0,1,3,3,0,870
"0.12, 0.16",0,0,1,3,3,0,870
"0.12, 0.17",0,0,1,3,3,0,870
"0.12, 0.18",1,1,1,3,3,5,870
"0.12, 0.19",0,0,1,3,3,0,870
"0.12, 0.20",0,0,1,3,3,0,870
"0.12, 0.21",0,0,1,3,3,0,870
"0.12, 0.22",0,0,1,3,3,0,870
"0.12, 0.23",0,0,1,3,3,0,870
"0.12, 0.24",0,0,1,3,3,0,930
"0.12, 0.25",0,0,1,3,3,0,930
"0.12, 0.26",0,0,1,3,3,0,870
"0.12, 0.27",0,0,1,3,3,0,870
"0.12, 0.28",0,0,1,3,3,0,930
"0.12, 0.29",1,1,1,3,3,5,870
"0.12, 0.30",0,0,1,3,3,0,870
"0.12, 0.31",0,0,1,3,3,0,930
"0.12, 0.32",0,0,1,3,3,0,870
"0.12, 0.33",0,0,1,3,3,0,870
"0.12, 0.34",0,0,1,3,3,0,930
"0.12, 0.35",1,1,1,3,3,5,870
"0.12, 0.36",0,0,1,3,3,0,870
"0.12, 0.37",0,0,1,3,3,0,870
"0.12, 0.38",0,0,1,3,3,0,870
"0.12, 0.39",0,0,1,3,3,0,870
"0.12, 0.40",0,0,1,3,3,0,870
"0.13, 0.00",0,0,0,3,3,0,1030
"0.13, 0.01",0,0,0,3,3,0,850
"0.13, 0.02",0,0,0,3,3,0,850
"0.13, 0.03",0,0,0,3,3,0,750
"0.13, 0.04",0,0,0,3,3,0,830
"0.13, 0.05",0,0,0,3,3,0,920
"0.13, 0.06",0,0,0,3,3,0,880
"0.13, 0.07",0,0,0,3,3,0,640
"0.13, 0.08",0,0,1,3,3,0,850
"0.13, 0.09",1,1,1,3,3,6,820
"0.13, 0.10",1,1,1,3,3,6,920
"0.13, 0.11",1,1,1,3,3,6,680
"0.13, 0.12",1,1,1,3,3,7,800
"0.13, 0.13",1,1,1,3,3,5,750
"0.13, 0.14",1,1,1,3,3,7,650
"0.13, 0.15",0,0,1,3,3,0,860
"0.13, 0.16",0,0,1,3,3,0,860
"0.13, 0.17",1,1,1,3,3,6,800
"0.13, 0.18",1,1,1,3,3,7,800
"0.13, 0.19",1,1,1,3,3,9,640
"0.13, 0.20",0,0,1,3,3,0,860
"0.13, 0.21",0,0,1,3,3,0,860
"0.13, 0.22",1,1,1,3,3,5,820
"0.13, 0.23",0,0,1,3,3,0,860
"0.13, 0.24",1,1,1,3,3,5,820
"0.13, 0.25",1,1,1,3,3,5,860
"0.13, 0.26",0,0,1,3,3,0,860
"0.13, 0.27",1,1,1,3,3,5,820
"0.13, 0.28",0,0,1,3,3,0,880
"0.13, 0.29",0,0,1,3,3,0,860
"0.13, 0.30",1,1,1,3,3,6,800
"0.13, 0.31",1,1,1,3,3,6,800
"0.13, 0.32",1,1,1,3,3,7,800
"0.13, 0.33",0,0,1,3,3,0,860
"0.13, 0.34",0,0,1,3,3,0,860
"0.13, 0.35",1,1,1,3,3,6,800
