imb_vector,tier,pms_over,pms_under,pms_unused,pms_used,pms_over_degree,min_cut
"0.07, 0.12",1,1,0,1,2,9,2960
"0.07, 0.13",1,1,0,1,2,11,2820
"0.07, 0.14",1,1,0,1,2,12,2960
"0.07, 0.15",1,1,0,1,2,12,2900
"0.07, 0.16",1,1,0,1,2,12,2960
"0.07, 0.17",1,1,0,1,2,12,2960
"0.07, 0.18",1,1,0,1,2,12,2960
"0.07, 0.19",1,1,0,1,2,12,2960
"0.07, 0.20",1,1,0,1,2,12,2960
"0.07, 0.21",1,1,0,1,2,12,2960
"0.07, 0.22",1,1,0,1,2,12,2960
"0.07, 0.23",1,1,0,1,2,12,2960
"0.07, 0.24",1,1,0,1,2,12,2960
"0.07, 0.25",1,1,0,1,2,12,2960
"0.07, 0.26",1,1,0,1,2,12,2960
"0.07, 0.27",1,1,0,1,2,12,2960
"0.07, 0.28",1,1,0,1,2,12,2960
"0.07, 0.29",1,1,0,1,2,12,2960
"0.07, 0.30",1,1,0,1,2,12,2960
"0.07, 0.31",1,1,0,1,2,12,2960
"0.07, 0.32",1,1,0,1,2,12,2960
"0.07, 0.33",1,1,0,1,2,12,2960
"0.07, 0.34",1,1,0,1,2,12,2960
"0.07, 0.35",1,1,0,1,2,12,2960
"0.07, 0.36",1,1,0,1,2,12,2960
"0.07, 0.37",1,1,0,1,2,12,2960
"0.07, 0.38",1,1,0,1,2,12,2960
"0.07, 0.39",1,1,0,1,2,12,2960
"0.07, 0.40",1,1,0,1,2,12,2960
"0.08, 0.00",1,1,0,1,2,6,3320
"0.08, 0.01",1,1,0,1,2,5,2880
"0.08, 0.02",0,0,0,1,2,0,3120
"0.08, 0.03",0,0,0,1,2,0,2940
"0.08, 0.04",0,0,0,1,2,0,2940
"0.08, 0.05",0,0,0,1,2,0,2880
"0.08, 0.06",1,1,0,1,2,7,2980
"0.08, 0.07",0,0,0,1,2,0,2980
"0.08, 0.08",1,1,0,1,2,5,2920
"0.08, 0.09",1,1,0,1,2,8,2760
"0.08, 0.10",1,1,0,1,2,6,2840
"0.08, 0.11",1,1,0,1,2,10,2760
"0.08, 0.12",1,1,0,1,2,8,3000
"0.08, 0.13",1,1,0,1,2,11,2920
"0.08, 0.14",1,1,0,1,2,12,2820
"0.08, 0.15",1,1,0,1,2,11,2960
"0.08, 0.16",1,1,0,1,2,13,2940
"0.08, 0.17",1,1,0,1,2,13,2940
"0.08, 0.18",1,1,0,1,2,13,2940
"0.08, 0.19",1,1,0,1,2,13,2940
"0.08, 0.20",1,1,0,1,2,13,2940
"0.08, 0.21",1,1,0,1,2,13,2940
"0.08, 0.22",1,1,0,1,2,13,2940
"0.08, 0.23",1,1,0,1,2,13,2940
"0.08, 0.24",1,1,0,1,2,13,2940
"0.08, 0.25",1,1,0,1,2,13,2940
"0.08, 0.26",1,1,0,1,2,13,2940
"0.08, 0.27",1,1,0,1,2,13,2940
"0.08, 0.28",1,1,0,1,2,13,2940
"0.08, 0.29",1,1,0,1,2,13,2940
"0.08, 0.30",1,1,0,1,2,13,2940
"0.08, 0.31",1,1,0,1,2,13,2940
"0.08, 0.32",1,1,0,1,2,13,2940
"0.08, 0.33",1,1,0,1,2,13,2940
"0.08, 0.34",1,1,0,1,2,13,2940
"0.08, 0.35",1,1,0,1,2,13,2940
"0.08, 0.36",1,1,0,1,2,13,2940
"0.08, 0.37",1,1,0,1,2,13,2940
"0.08, 0.38",1,1,0,1,2,13,2940
"0.08, 0.39",1,1,0,1,2,13,2940
"0.08, 0.40",1,1,0,1,2,13,2940
"0.09, 0.00",1,1,0,1,2,5,3040
"0.09, 0.01",1,1,0,1,2,5,2960
"0.09, 0.02",1,1,0,1,2,6,2940
"0.09, 0.03",1,1,0,1,2,8,2900
"0.09, 0.04",1,1,0,1,2,8,2680
"0.09, 0.05",0,0,0,1,2,0,2880
"0.09, 0.06",0,0,0,1,2,0,2680
"0.09, 0.07",0,0,0,1,2,0,2900
"0.09, 0.08",1,1,0,1,2,5,2820
"0.09, 0.09",1,1,0,1,2,7,2720
"0.09, 0.10",1,1,0,1,2,8,3020
"0.09, 0.11",1,1,0,1,2,7,2800
"0.09, 0.12",1,1,0,1,2,9,3000
"0.09, 0.13",1,1,0,1,2,11,2800
"0.09, 0.14",1,1,0,1,2,12,2840
"0.09, 0.15",1,1,0,1,2,13,2920
"0.09, 0.16",1,1,0,1,2,12,2760
"0.09, 0.17",1,1,1,1,2,14,2900
"0.09, 0.18",1,1,1,1,2,14,2900
"0.09, 0.19",1,1,1,1,2,14,2900
"0.09, 0.20",1,1,1,1,2,14,2900
"0.09, 0.21",1,1,1,1,2,14,2900
"0.09, 0.22",1,1,1,1,2,14,2900
"0.09, 0.23",1,1,1,1,2,14,2900
"0.09, 0.24",1,1,1,1,2,14,2900
"0.09, 0.25",1,1,1,1,2,14,2900
"0.09, 0.26",1,1,1,1,2,14,2900
"0.09, 0.27",1,1,1,1,2,14,2900
"0.09, 0.28",1,1,1,1,2,14,2900
"0.09, 0.29",1,1,1,1,2,14,2900
"0.09, 0.30",1,1,1,1,2,14,2900
"0.09, 0.31",1,1,1,1,2,14,2900
"0.09, 0.32",1,1,1,1,2,14,2900
"0.09, 0.33",1,1,1,1,2,14,2900
"0.09, 0.34",1,1,1,1,2,14,2900
"0.09, 0.35",1,1,1,1,2,14,2900
"0.09, 0.36",1,1,1,1,2,14,2900
"0.09, 0.37",1,1,1,1,2,14,2900
"0.09, 0.38",1,1,1,1,2,14,2900
"0.09, 0.39",1,1,1,1,2,14,2900
"0.09, 0.40",1,1,1,1,2,14,2900
"0.10, 0.00",1,1,0,1,2,6,3200
"0.10, 0.01",1,1,0,1,2,6,3020
"0.10, 0.02",1,1,0,1,2,7,2940
"0.10, 0.03",0,0,0,1,2,0,2840
"0.10, 0.04",1,1,0,1,2,8,2960
"0.10, 0.05",0,0,0,1,2,0,2720
"0.10, 0.06",1,1,0,1,2,7,2820
"0.10, 0.07",1,1,0,1,2,9,2780
"0.10, 0.08",0,0,0,1,2,0,2900
"0.10, 0.09",0,0,0,1,2,0,2820
"0.10, 0.10",1,1,0,1,2,8,2720
"0.10, 0.11",1,1,0,1,2,7,2840
"0.10, 0.12",1,1,0,1,2,10,2820
"0.10, 0.13",1,1,0,1,2,11,2820
"0.10, 0.14",1,1,0,1,2,11,2860
"0.10, 0.15",1,1,0,1,2,12,2760
"0.10, 0.16",1,1,1,1,2,14,2740
"0.10, 0.17",1,1,1,1,2,14,2880
"0.10, 0.18",1,1,1,1,2,14,2800
"0.10, 0.19",1,1,1,1,2,14,2800
"0.10, 0.20",1,1,1,1,2,14,2800
"0.10, 0.21",1,1,1,1,2,14,2800
"0.10, 0.22",1,1,1,1,2,14,2800
"0.10, 0.23",1,1,1,1,2,14,2800
"0.10, 0.24",1,1,1,1,2,14,2800
"0.10, 0.25",1,1,1,1,2,14,2800
"0.10, 0.26",1,1,1,1,2,14,2800
"0.10, 0.27",1,1,1,1,2,14,2800
"0.10, 0.28",1,1,1,1,2,14,2800
"0.10, 0.29",1,1,1,1,2,14,2800
"0.10, 0.30",1,1,1,1,2,14,2800
"0.10, 0.31",1,1,1,1,2,14,2800
"0.10, 0.32",1,1,1,1,2,14,2800
"0.10, 0.33",1,1,1,1,2,14,2800
"0.10, 0.34",1,1,1,1,2,14,2800
"0.10, 0.35",1,1,1,1,2,14,2800
"0.10, 0.36",1,1,1,1,2,14,2800
"0.10, 0.37",1,1,1,1,2,14,2800
"0.10, 0.38",1,1,1,1,2,14,2800
"0.10, 0.39",1,1,1,1,2,14,2800
"0.10, 0.40",1,1,1,1,2,14,2800
"0.11, 0.00",1,1,0,1,2,6,3200
"0.11, 0.01",1,1,0,1,2,7,2840
"0.11, 0.02",1,1,0,1,2,7,2960
"0.11, 0.03",0,0,0,1,2,0,2940
"0.11, 0.04",0,0,0,1,2,0,2920
"0.11, 0.05",0,0,0,1,2,0,2920
"0.11, 0.06",1,1,0,1,2,8,2820
"0.11, 0.07",1,1,0,1,2,5,2760
"0.11, 0.08",1,1,0,1,2,6,2760
"0.11, 0.09",1,1,0,1,2,6,2920
"0.11, 0.10",1,1,0,1,2,6,2900
"0.11, 0.11",1,1,0,1,2,9,2880
"0.11, 0.12",1,1,0,1,2,10,2820
"0.11, 0.13",1,1,0,1,2,10,2780
"0.11, 0.14",1,1,0,1,2,12,2880
"0.11, 0.15",1,1,0,1,2,12,2940
"0.11, 0.16",1,1,1,1,2,14,2820
"0.11, 0.17",1,1,1,1,2,14,2820
"0.11, 0.18",1,1,1,1,2,13,2760
"0.11, 0.19",1,1,1,1,2,17,2880
"0.11, 0.20",1,1,1,1,2,17,2880
"0.11, 0.21",1,1,1,1,2,17,2880
"0.11, 0.22",1,1,1,1,2,17,2880
"0.11, 0.23",1,1,1,1,2,17,2880
"0.11, 0.24",1,1,1,1,2,17,2880
"0.11, 0.25",1,1,1,1,2,17,2880
"0.11, 0.26",1,1,1,1,2,17,2880
"0.11, 0.27",1,1,1,1,2,17,2880
"0.11, 0.28",1,1,1,1,2,17,2880
"0.11, 0.29",1,1,1,1,2,17,2880
"0.11, 0.30",1,1,1,1,2,17,2880
"0.11, 0.31",1,1,1,1,2,17,2880
"0.11, 0.32",1,1,1,1,2,17,2880
"0.11, 0.33",1,1,1,1,2,17,2880
"0.11, 0.34",1,1,1,1,2,17,2880
"0.11, 0.35",1,1,1,1,2,17,2880
"0.11, 0.36",1,1,1,1,2,17,2880
"0.11, 0.37",1,1,1,1,2,17,2880
"0.11, 0.38",1,1,1,1,2,17,2880
"0.11, 0.39",1,1,1,1,2,17,2880
"0.11, 0.40",1,1,1,1,2,17,2880
"0.12, 0.00",1,1,0,1,2,6,3040
"0.12, 0.01",1,1,0,1,2,6,2860
"0.12, 0.02",1,1,0,1,2,7,2960
"0.12, 0.03",1,1,0,1,2,8,2900
"0.12, 0.04",0,0,0,1,2,0,2720
"0.12, 0.05",1,1,0,1,2,11,2940
"0.12, 0.06",1,1,0,1,2,7,2860
"0.12, 0.07",1,1,0,1,2,10,2820
"0.12, 0.08",1,1,0,1,2,7,2840
"0.12, 0.09",0,0,0,1,2,0,2740
"0.12, 0.10",1,1,0,1,2,8,2760
"0.12, 0.11",1,1,0,1,2,7,2760
"0.12, 0.12",1,1,0,1,2,9,2740
"0.12, 0.13",1,1,0,1,2,11,2840
"0.12, 0.14",1,1,0,1,2,12,2920
"0.12, 0.15",1,1,1,1,2,14,2820
"0.12, 0.16",1,1,1,1,2,14,2860
"0.12, 0.17",1,1,1,1,2,14,2800
"0.12, 0.18",1,1,1,1,2,16,2980
"0.12, 0.19",1,1,1,1,2,14,2860
"0.12, 0.20",1,1,1,1,2,14,2760
"0.12, 0.21",1,1,1,1,2,14,2760
"0.12, 0.22",1,1,1,1,2,14,2760
"0.12, 0.23",1,1,1,1,2,14,2760
"0.12, 0.24",1,1,1,1,2,14,2760
"0.12, 0.25",1,1,1,1,2,14,2760
"0.12, 0.26",1,1,1,1,2,14,2760
"0.12, 0.27",1,1,1,1,2,14,2760
"0.12, 0.28",1,1,1,1,2,14,2760
"0.12, 0.29",1,1,1,1,2,14,2760
"0.12, 0.30",1,1,1,1,2,14,2760
"0.12, 0.31",1,1,1,1,2,14,2760
"0.12, 0.32",1,1,1,1,2,14,2760
"0.12, 0.33",1,1,1,1,2,14,2760
"0.12, 0.34",1,1,1,1,2,14,2760
"0.12, 0.35",1,1,1,1,2,14,2760
"0.12, 0.36",1,1,1,1,2,14,2760
"0.12, 0.37",1,1,1,1,2,14,2760
"0.12, 0.38",1,1,1,1,2,14,2760
"0.12, 0.39",1,1,1,1,2,14,2760
"0.12, 0.40",1,1,1,1,2,14,2760
"0.13, 0.00",1,1,0,1,2,6,3040
"0.13, 0.01",1,1,0,1,2,6,2860
"0.13, 0.02",1,1,0,1,2,7,2960
"0.13, 0.03",1,1,0,1,2,7,2880
"0.13, 0.04",1,1,0,1,2,7,3020
"0.13, 0.05",1,1,0,1,2,11,2920
"0.13, 0.06",1,1,0,1,2,12,2860
"0.13, 0.07",1,1,0,1,2,9,2760
"0.13, 0.08",1,1,0,1,2,13,2780
"0.13, 0.09",1,1,0,1,2,10,2820
"0.13, 0.10",1,1,0,1,2,7,2860
"0.13, 0.11",1,1,0,1,2,9,2800
"0.13, 0.12",1,1,0,1,2,10,2860
"0.13, 0.13",1,1,0,1,2,11,2860
"0.13, 0.14",1,1,0,1,2,8,2680
"0.13, 0.15",1,1,0,1,2,13,2900
"0.13, 0.16",1,1,1,1,2,14,2820
"0.13, 0.17",1,1,1,1,2,15,2780
